#LINK,,,,,,,,,,,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,,,,,,,,,,,
#attribution_name,高松市,,,,,,,,,,,,,,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,,,,,,,,,,,,,,
#file_name,0062,,,,,,,,,,,,,,,,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/hospital,,,,,,,,,,,,,,,,,,,,,,,,
#property,prefCode,identification,pref,city,name,fullNameInKana,alternativeName,address,katagaki,location,telephoneNumber,extensionNumber,faxNumber,corporateNumber,corporateName,medicalCode,availableDate,medicalStartTime,medicalEndTime,availableDateNote,overtimeResponse,medicalSubjects,numberOfBeds,referenceObject,note
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
76,372013,,香川県,高松市,うえむら耳鼻咽喉科,ウエムラジビインコウカ,無床診療所,香川県高松市楠上町二丁目3-15,アルファメディカルモール2F,",",087-831-8733,,,,医療法人社団うえむら耳鼻咽喉科,,月火水木金土,09：00,18：00,木曜日12：30、土曜日17：00まで。,,耳鼻咽喉科,0,http://uemura.atat.jp/i/f.php,
77,372013,,香川県,高松市,牛山クリニック,ウシヤマクリニック,無床診療所,香川県高松市檀紙町68-1,,",",087-886-0119,,087-886-0559,,医療法人社団牛山クリニック,,月火水木金土,08：30,18：00,木曜日、土曜日12：30まで。,,内科、消化器内科、外科、リハビリテーション科、美容皮膚科,0,https://ushiyama-cl.jimdo.com/,
78,372013,,香川県,高松市,内田眼科クリニック,ウチダガンカクリニック,無床診療所,香川県高松市扇町二丁目1-7,,",",087-823-3443,,087-823-3443,,医療法人社団内田眼科クリニック,,月火水木金土,09：00,17：30,水曜日、土曜日12：00まで。,,眼科,0,https://itp.ne.jp/info/376823805400000899/,
,,,,,,,,,,,,,,,,,,,,,,,,,
80,372013,,香川県,高松市,江藤内科クリニック,エトウナイカクリニック,無床診療所,香川県高松市六条町198-1,,",",087-847-6840,,087-847-6841,,江藤　内詞,,月火水木金土,08：30,17：30,木曜日14：30から17：30。土曜日12：00まで第1第3のみ。,,内科,0,,
81,372013,,香川県,高松市,えないメンタルクリニック,エナイメンタルクリニック,無床診療所,香川県高松市観光町649-8,,",",087-813-1613,,087-813-1614,,繒内　利啓,,月火水金土,09：00,18：00,月曜日19：00、土曜日17：00まで。,,心療内科、精神科,0,https://www.enai-mental-clinic.jp/,
,,,,,,,,,,,,,,,,,,,,,,,,,
83,372013,,香川県,高松市,遠藤医院,エンドウイイン,無床診療所,香川県高松市浜ノ町58-10,,",",087-821-9300,,087-822-4428,,遠藤　俊一,,月火水木金土,09：00,18：00,土曜日13：00まで。,,呼吸器科、胃腸科、外科、整形外科、リハビリ科、麻酔科,0,,
84,372013,,香川県,高松市,大饗内科消化器科医院,オオアエナイカショウカキカイイン,無床診療所,香川県高松市成合町728-7,,",",087-885-1233,,087-885-1681,,大饗　由之,,月火水木金土,08：30,18：00,土曜日12：00まで。,,内科、心療内科、精神科、消化器内科,0,"http://www.ooae.jp/
https://itp.ne.jp/info/375356425400000899/",
85,372013,,香川県,高松市,大内胃腸科眼科医院,オオウチイチョウカガンカイイン,無床診療所,香川県高松市高松町2507-4,,",",087-843-1662,,087-843-1664,,大内　晰,,月火水木金土,09：00,18：00,木曜日、土曜日13：00まで。,,内科、胃腸科、眼科,0,,
86,372013,,香川県,高松市,おおくぼ小児科,オオクボショウニカ,無床診療所,香川県高松市東山崎町466-3,,",",087-847-2500,,087-847-2510,,医療法人社団おおくぼ小児科,,月火水木金土,08：30,18：00,水曜日12：00、土曜日15：00まで。,,アレルギー科、小児科、新生児内科,0,http://www.okubo-hospital.jp/,
87,372013,,香川県,高松市,大嶋整形外科医院,オオシマセイケイゲカイイン,有床診療所,香川県高松市香川町大野1092-1,,",",087-885-3611,,087-885-5526,,医療法人社団大嶋整形外科医院,,月火水木金土,09：00,18：00,木曜日12：00、土曜日14：00まで。,,リウマチ科、整形外科、リハビリ科,19,,
88,372013,,香川県,高松市,太田クリニック,オオタクリニック,有床診療所,香川県高松市福岡町二丁目24-26,,",",087-851-1238,,,,医療法人社団らく楽会,,月火水木金土,09：00,18：00,土曜日は13：00まで診療,,内科、外科、泌尿器科、リハビリ科,19,http://www.rakuraku-group.jp/otaclinic.html,
89,372013,,香川県,高松市,おおた小児科アレルギー科クリニック,オオタショウニカアレルギーカクリニック,無床診療所,香川県高松市春日町466-1,,",",087-844-8288,,087-844-8332,,医療法人社団すこやか,,月火水木金土,09：00,18：00,木曜日17：00から18：00。土曜日は17：00まで。,,呼吸器科、アレルギー科、小児科,0,https://www.ohtaclinic.jp/,
90,372013,,香川県,高松市,大塚整形外科医院,オオツカセイケイゲカイイン,有床診療所,香川県高松市中央町1-28,,",",087-834-7611,,087-834-7613,,医療法人社団大塚整形外科医院,,月火水木金土,08：30,17：30,木曜日13：00、土曜日12：30まで。,,リウマチ科、整形外科、リハビリ科,15,https://otsuka-seikei.jp/,
91,372013,,香川県,高松市,大西整形外科クリニック,オオニシセイケイゲカクリニック,無床診療所,香川県高松市松島町一丁目8-18,,",",087-862-8288,,087-862-8289,,医療法人社団大西整形外科クリニック,,月火水木金土,09：00,18：30,木曜日13：00まで。,,外科、整形外科、リハビリ科,0,,
92,372013,,香川県,高松市,大西内科クリニック,オオニシナイカクリニック,無床診療所,香川県高松市屋島西町2490-18,,",",087-818-0765,,087-818-0785,,医療法人社団空会,,月火水木金土,09：00,18：30,水曜日、土曜日12：30まで。,,内科、消化器内科、アレルギー科,0,http://ohnishinaika.homepagelife.jp/,
93,372013,,香川県,高松市,大野ペインクリニック,オオノペインクリニック,無床診療所,香川県高松市天神前5-6,高松メディカルモール4F,",",087-836-9870,,087-836-9878,,大野　健次,,月火水金土,09：00,18：00,,,麻酔科,0,https://www.ohnopain.clinic/,
94,372013,,香川県,高松市,大橋内科胃腸科,オオハシナイカイチョウカ,無床診療所,香川県高松市三条町109-1,,",",087-866-0084,,087-866-0084,,医療法人社団大橋内科胃腸科,,月火水木金土,09：00,18：00,木曜日、土曜日12：30まで。,,内科、胃腸科,0,https://itp.ne.jp/info/374643531104821690/,
95,372013,,香川県,高松市,おか整形・リハビリクリニック,オカセイケイ・リハビリクリニック,無床診療所,香川県高松市西ハゼ町8-1,,",",087-814-8555,,087-814-8666,,医療法人社団おか整形・リハビリクリニック,,月火水木金土,09：00,18：00,水曜日12：30、土曜日13：00まで。,,整形外科、リハビリ科,0,http://www.oka-seikei.com/,
96,372013,,香川県,高松市,おか内科クリニック,オカナイカクリニック,無床診療所,香川県高松市香川町川東上1864-3,,",",087-879-1600,,087-879-1632,,岡　隆彦,,月火水木金土,08：30,18：00,水曜日12：30、土曜日17：30まで。,,内科、呼吸器内科、消化器内科、糖尿病内科、リウマチ科、外科、整形外科、胃腸外科、肛門外科、リハビリ科,0,https://itp.ne.jp/info/372595059018841960/,
,,,,,,,,,,,,,,,,,,,,,,,,,
98,372013,,香川県,高松市,小川内科医院,オガワナイカイイン,有床診療所,香川県高松市藤塚町三丁目3-12,,",",087-861-9551,,087-837-2012,,医療法人社団小川内科医院,,月火水木金土,09：00,18：00,木曜日、土曜日午後休診。,,内科、消化器科、循環器科、放射線科,19,https://ogawaiin.jimdo.com/,
99,372013,,香川県,高松市,おだ整形外科医院,オダセイケイゲカイイン,無床診療所,香川県高松市花ノ宮町二丁目12-1,,",",087-866-7166,,087-866-0031,,医療法人社団おだ整形外科医院,,月火水木金土,09：00,18：00,木曜日、土曜日13：00まで。,,リウマチ科、外科、リハビリ科,0,,
100,372013,,香川県,高松市,おはら整形外科クリニック,オハラセイケイゲカクリニック,無床診療所,香川県高松市多肥下町1543-1,,",",087-865-2398,,087-816-6193,,医療法人社団おはら整形外科クリニック,,月火水木金土,09：00,18：00,水曜日、土曜日12：30まで。,,リウマチ科、外科、整形外科、胃腸外科、肛門外科、リハビリ科,0,https://hospital.dr-navip.jp/kagawa/facility/1477/,
101,372013,,香川県,高松市,オリーブ高松メディカルクリニック,オリーブタカマツメディカルクリニック,無床診療所,香川県高松市観光町649-8,,",",087-839-9620,,,,医療法人如水会,,月火水木金土,08：30,17：30,,,内科、婦人科,0,https://www.olive.clinic/,
102,372013,,香川県,高松市,海部医院,カイフイイン,有床診療所,香川県高松市高松町2365,,",",087-843-3666,,087-843-3667,,医療法人社団海部医院,,月火水木金土,09：00,18：00,土曜日13：00まで。,,内科、腎臓内科、循環器内科、皮膚科、泌尿器科,19,http://www.kaifuiin.com/medical/index.html,
103,372013,,香川県,高松市,楓の森整形外科,カエデノモリセイケイゲカ,無床診療所,香川県高松市小村町256-2,,",",087-887-9888,,,,医療法人社団つばさ,,月火木金土,09：00,18：00,,,整形外科、リハビリ科,0,http://www.kaedenomori.jp/,
104,372013,,香川県,高松市,香川県総合健診協会,カガワケンソウゴウケンシンキョウカイ,無床診療所,香川県高松市郷東町587-1,,",",087-881-4867,,087-881-8171,,公益財団法人香川県総合健診協会,,,,,,,内科、婦人科、放射線科,0,,
105,372013,,香川県,高松市,かがわ整形外科クリニック,カガワセイケイゲカクリニック,無床診療所,香川県高松市屋島西町1347-10,,",",087-887-9876,,,,医療法人社団一耀会かがわ整形外科クリニック,,月火水木金土,09：00,18：00,水曜日、土曜日12：30まで。,,整形外科、リハビリ科,0,http://kagawa-orthop.com/index.html,
106,372013,,香川県,高松市,笠岡　腎・透析・泌尿器科クリニック,カサオカ　ジン・トウセキ・ヒニョウキカクリニック,無床診療所,香川県高松市郷東町字東新開148-3,,",",087-882-8777,,,,笠岡　良信,,月火水木金土,09：00,18：00,木曜日、土曜日12：30まで。,,泌尿器科、泌尿器科（人工透析）,0,http://www.kasaoka-urology-cl.com/,
107,372013,,香川県,高松市,加地医院,カジイイン,無床診療所,香川県高松市牟礼町牟礼22-1,,",",087-845-9713,,,,医療法人社団　加地医院,,月火水木金土,09：00,18：00,木曜日は12：00、土曜日は12：30まで診療,,内科、消化器内科,0,http://kajiclinic.web.fc2.com/,
108,372013,,香川県,高松市,かしむら内科医院,カシムラナイカイイン,有床診療所,香川県高松市多肥上町718-1,,",",087-889-7760,,087-889-7769,,医療法人かしむら内科医院,,月火水金土,09：00,18：00,,,内科、胃腸科、リハビリ科,19,http://wwwb.pikara.ne.jp/kashimura-iin/,
109,372013,,香川県,高松市,春日佐々木医院,カスガササキイイン,無床診療所,香川県高松市春日町1650-1,,",",087-841-7676,,087-841-7671,,佐々木　良英,,月火水木金土,09：00,18：00,水曜日、土曜日12：30まで。,,内科、呼吸器科、胃腸科、循環器科、,0,https://hospital.dr-navip.jp/kagawa/facility/1448/,
110,372013,,香川県,高松市,形見医院,カタミイイン,無床診療所,香川県高松市番町四丁目8-25,,",",087-831-5965,,087-833-4397,,形見　智彦,,月火水木金土,09：00,18：00,水曜日午後診療15：00から。土曜日12：30まで。,,内科、循環器科、小児科,0,,
111,372013,,香川県,高松市,かつが整形外科クリニック,カツガセイケイゲカクリニック,有床診療所,香川県高松市香西本町114-10,,",",087-832-8877,,087-832-8911,,医療法人社団勝賀,,月火水木金土,09：00,18：30,木曜日、土曜日12：30まで。,,リウマチ科、整形外科、リハビリ科、麻酔科,2,http://www.katsuga.com/,
112,372013,,香川県,高松市,加藤医院,カトウイイン,無床診療所,香川県高松市天神前1-22,　,",",087-862-6614,,,,加藤　秀樹,,月火水木金土,09：00,18：00,月曜日、木曜日19：00まで。土曜日午前12：30まで、午後13：30から15：00まで。,,耳鼻咽喉科、気管食道外科,0,https://itp.ne.jp/info/375210715400000899/,
113,372013,,香川県,高松市,加藤眼科医院,カトウガンカイイン,無床診療所,香川県高松市天神前10-28,,",",087-831-3893,,087-831-7771,,医療法人社団正眼会,,月火水木金土,09：00,17：00,木曜日、土曜日13：00まで。,,眼科,0,https://itp.ne.jp/info/371140905400000899/,
114,372013,,香川県,高松市,加藤眼科クリニック,カトウガンカクリニック,無床診療所,香川県高松市多肥下町1548-20,,",",087-868-0707,,087-868-0770,,加藤　俊彦,,月火水金土日,09：00,18：30,日曜日12：30まで。,,眼科,0,https://www6.bausch.co.jp/clinic/V0878680707,
115,372013,,香川県,高松市,かとう整形外科,カトウセイケイゲカ,無床診療所,香川県高松市楠上町一丁目5-31,,",",087-833-5545,,,,医療法人社団かとう整形外科,,月火水木金土,09：00,18：00,木曜日、土曜日12：30まで。,,リウマチ科、整形外科、リハビリ科,0,https://hospital.dr-navip.jp/kagawa/facility/1441/,
116,372013,,香川県,高松市,かとう皮フ科クリニック,カトウヒフカクリニック,無床診療所,香川県高松市香川町大野2453-1,,",",087-864-7227,,087-864-7228,,医療法人社団かとう皮フ科クリニック,,月火水金,09：00,18：00,土曜日12：00まで。,,皮膚科,0,,
117,372013,,香川県,高松市,かど小児科クリニック,カドショウニカクリニック,無床診療所,香川県高松市多肥下町1556-15,,",",087-868-1200,,087-868-1386,,医療法人かど小児科クリニック,,月火水木金土,08：30,17：45,木曜日、土曜日12：05まで。,,小児科,0,http://www.kado-child-clinic.com/,
118,372013,,香川県,高松市,かねたけ耳鼻咽喉科医院,カネタケジビインコウカイイン,無床診療所,香川県高松市屋島西町1968-7,,",",087-841-8733,,087-841-8733,,医療法人社団かねたけ耳鼻咽喉科医院,,月火水木金土,08：30,18：30,水曜日午後診療14：30から。土曜日午後診療13：30から17：00まで。,,アレルギー科、耳鼻咽喉科,0,https://itp.ne.jp/info/376425215400000899/,
,,,,,,,,,,,,,,,,,,,,,,,,,
120,372013,,香川県,高松市,亀井内科呼吸器科医院,カメイナイカコキュウキカイイン,無床診療所,香川県高松市太田下町3007-4,,",",087-866-5001,,087-866-1877,,医療法人社団弘雅会,,月火水木金土,09：00,18：00,木曜日、土曜日12：30まで。,,内科、呼吸器内科、アレルギー科,0,https://itp.ne.jp/info/374811925197531780/,
121,372013,,香川県,高松市,かわさきレディースクリニック,カワサキレディースクリニック,無床診療所,香川県高松市番町三丁目19-15,,",",087-802-5525,,,,医療法人社団啓里会,,月火水木金土,09：00,18：00,水曜日、土曜日12：30まで。,,産婦人科,0,https://itp.ne.jp/info/371733359016381350/,
122,372013,,香川県,高松市,川地クリニック,カワジクリニック,無床診療所,香川県高松市松縄町1117-16,,",",087-815-2110,,087-815-2223,,医療法人社団川地クリニック,,月火水木金土,08：30,18：00,木曜日、土曜日12：30まで。,,内科、呼吸器科、アレルギー科,0,http://www.kawaji-clinic.com/,
123,372013,,香川県,高松市,河西医院,カワニシイイン,無床診療所,香川県高松市番町一丁目7-11,,",",087-851-2666,,087-851-3969,,河西　敏晴,,月火水木金土,08：30,17：30,木曜日、土曜日12：30まで。,,リウマチ科、整形外科、リハビリ科,0,https://itp.ne.jp/info/375005515400000899/,
