"施設名称１","施設名称２","施設名称かな","施設郵便番号","施設所在地１","施設所在地２","施設電話番号","営業者名","営業者名かな","業種","業態","許可番号","初回許可年月日","許可開始日","許可終了日"
"株式会社高松給食センター",,"タカマツキュウショク","761-8058","高松市勅使町１３５１−１",,"087-867-8282  ","株式会社高松給食センター","タカマツキュウショクセンター","飲食店営業","日配","第10201-0050285号","H11.08.26","R01.09.01","R06.08.31"
"峰山ハチミツ",,"ミネヤマハチミツ","760-0009","高松市峰山町１８３８−２６６",,"087-861-6300  ","株式会社ミネック","ミネック","飲食店営業","喫茶","第10105-1260370号","H26.07.02","R01.09.01","R06.08.31"
"ＣＲＥＥＲ　ＣＯＦＦＥＥ",,"クレエ　コーヒー","761-8073","高松市太田下町３０１５−１２",,"087-869-0666  ","町川　雅紀","マチカワ　マサキ","飲食店営業","喫茶","第10105-1260308号","H26.06.18","R01.09.01","R06.08.31"
"（有）おおしまうどん",,"オオシマウドン","761-8074","高松市太田上町１０５８",,"087-866-8383  ","有限会社おおしまうどん","オオシマウドン","麺類製造業","めん","第22701-1260261号","H26.06.04","R01.09.01","R06.08.31"
"カフェ　今村屋",,"イマムラヤ","760-0040","高松市片原町３−７",,"087-821-4110  ","岡島　あや子","オカジマ　アヤコ","飲食店営業","喫茶","第10105-0054818号","H16.06.30","R01.09.01","R06.08.31"
"自然堂",,"シゼンドウ","761-8072","高松市三条町１００−１",,"087-867-9100  ","和田　美紀","ワダ　ミキ","そうざい製造業","そうざい","第22800-1310593号","R01.08.07","R01.08.07","R06.08.31"
"日本マクドナルド株式会社","高松ゆめタウンフードコート店","ニホンマクドナルド　タカマツユメタウンフードコートテン","761-8056","高松市上天神町３２６−１","高松ゆめタウンフードコート","087-869-7616  ","日本マクドナルド株式会社","ニホンマクドナルド","飲食店営業","その他","第10404-1310658号","R01.08.20","R01.08.20","R06.08.31"
"日本マクドナルド株式会社","高松ゆめタウンフードコート店","ニホンマクドナルド　タカマツユメタウンフードコートテン","761-8056","高松市上天神町３２６−１","高松ゆめタウンフードコート","087-869-7616  ","日本マクドナルド株式会社","ニホンマクドナルド","アイスクリーム類製造業","ソフトクリーム","第21302-1310659号","R01.08.20","R01.08.20","R06.08.31"
"Ｄｉｎｉｎｇ　Ｍｉｎｎｏ",,"ダイニング　ミンノ","760-0004","高松市西宝町１−１６−１６",,"087-862-8671  ","水野　正博","ミズノ　マサヒロ","飲食店営業","居酒屋・焼肉","第10107-1210502号","H21.08.06","R01.09.01","R06.08.31"
"中国料理　青山",,"アオヤマ","761-8044","高松市円座町９４０",,"087-886-8485  ","中国料理青山有限会社","アオヤマ","飲食店営業","一般","第10101-0027282号","H04.08.31","R01.09.01","R06.08.31"
"ピッツェリア　アルチェントロ",,"ピッツェリア　アルチェントロ","        ","高松市一円",,"              ","株式会社Ｖｉａｇｇｉａｍｏ","ヴィアッジャーモ","飲食店営業","車","第10410-1260341号","H26.06.26","R01.09.01","R06.08.31"
"お食事処　水仙",,"スイセン","761-0121","高松市牟礼町牟礼２６６−４",,"087-845-6488  ","水仙有限会社","スイセン","菓子製造業","菓子","第20101-1260648号","H26.08.20","R01.09.01","R06.08.31"
"産直　菜の花",,"サンチョク　ナノハナ","761-8084","高松市一宮町７８１−１","２階","087-864-7087  ","山下　功","ヤマシタ　イサオ","飲食店営業","おかず","第10403-1210253号","H21.06.05","R01.09.01","R06.08.31"
"社会福祉法人やまびこ会　Ｄｏやまびこ",,"ヤマビコカイドゥヤマビコ","761-8057","高松市田村町１０１０",,"087-868-6971  ","社会福祉法人やまびこ会","ヤマビコカイ","菓子製造業","菓子","第20101-1210299号","H21.06.25","R01.09.01","R06.08.31"
"社会福祉法人やまびこ会　Ｄｏやまびこ",,"ヤマビコカイドゥヤマビコ","761-8057","高松市田村町１０１０",,"087-868-6971  ","社会福祉法人やまびこ会","ヤマビコカイ","アイスクリーム類製造業","アイスクリーム","第21301-1210300号","H21.06.25","R01.09.01","R06.08.31"
"株式会社双葉　食品加工センター",,"フタバ　ショクヒンカコウセンター","760-0012","高松市瀬戸内町４３−１６",,"087-812-7811  ","株式会社双葉","フタバ","魚介類販売業","魚介類","第20601-0055768号","H17.08.04","R01.09.01","R08.08.31"
"株式会社双葉　食品加工センター",,"フタバ　ショクヒンカコウセンター","760-0012","高松市瀬戸内町４３−１６",,"087-812-7811  ","株式会社双葉","フタバ","そうざい製造業","そうざい","第22800-0055770号","H17.08.04","R01.09.01","R08.08.31"
"中村彰商店",,"ナカムラアキラショウテン","761-0113","高松市屋島西町８６４",,"087-841-9505  ","有限会社中村彰商店","ナカムラアキラショウテン","魚介類販売業","魚介類","第20601-0054875号","H16.07.14","R01.09.01","R06.08.31"
"魚国総本社・高松市２８６３４",,"ウオクニソウホンシャ","761-8071","高松市伏石町２００３−１",,"              ","株式会社魚国総本社","ウオクニソウホンシャ","飲食店営業","給食","第10106-0054982号","H16.08.20","R01.09.01","R06.08.31"
"おばんざい　ねこ",,"ネコ","760-0052","高松市瓦町２−８−２","ｍａｉｓｏｎ　ＳＯＧＯ１階北室",,"石丸　友江","イシマル","飲食店営業","居酒屋・焼肉","第10107-1260246号","H26.06.02","R01.09.01","R06.08.31"
"Ｈｅｌｌｏ　Ｈｏｕｓｅ　こがも",,"ハローハウス　コガモ","761-8055","高松市紙町５３８−３",,"087-869-3087  ","社会福祉法人こがも福祉会","コガモフクシカイ","アイスクリーム類製造業","アイスクリーム","第21301-1210534号","H21.08.20","R01.09.01","R06.08.31"
"Ｈｅｌｌｏ　Ｈｏｕｓｅ　こがも",,"ハローハウス　コガモ","761-8055","高松市紙町５３８−３",,"087-869-3087  ","社会福祉法人こがも福祉会","コガモフクシカイ","そうざい製造業","そうざい","第22800-1210535号","H21.08.20","R01.09.01","R06.08.31"
"谷本こうじや",,"タニモトコウジヤ","761-0104","高松市高松町１７９１",,"087-841-3427  ","木内　ますみ","キウチ　マスミ","みそ製造業","みそ","第22100-0050196号","H11.07.15","R01.09.01","R06.08.31"
"ファミリーマート","高松屋島西町北店","ファミリーマートタカマツヤシマニシマチキタテン","761-0113","高松市屋島西町２２８６−２５",,"087-844-8082  ","道川　茂樹","ミチカワ　シゲキ","飲食店営業","その他","第10404-0054978号","H16.08.30","R01.09.01","R06.08.31"
"お好み焼　きゃべつ畑",,"オコノミヤキ　キャベツバタケ","761-8077","高松市出作町３０５−１２",,"087-888-2343  ","釜野　千惠美","カマノ　チエミ","飲食店営業","その他","第10404-1210385号","H21.07.14","R01.09.01","R06.08.31"
"朝日平成園",,"アサヒヘイセイエン","761-0322","高松市前田東町５８５−２１",,"087-847-3322  ","社会福祉法人朝日園","アサヒエン","飲食店営業","日配","第10201-1260591号","H26.08.06","R01.09.01","R06.08.31"
"１００時間カレー","ゆめタウン高松店","ヒャクジカンカレーユメタウンタカマツテン","761-8056","高松市上天神町３２６−１","ゆめタウン高松店２階","087-813-6768  ","株式会社アイエル","アイエル","飲食店営業","その他","第10404-1310691号","R01.08.27","R01.09.05","R06.11.30"
"神戸Ｇｏｕｒｍａｎｄ",,"コウベグルマン","        ","高松市一円",,"              ","横山　典行","ヨコヤマ　ノリユキ","飲食店営業","露店：仮設","第10407-1310598号","R01.08.07","R01.08.07","R06.08.31"
"Ｚｉｏｎ",,"シオン","760-0018","高松市天神前８−２４",,"087-837-3178  ","ＤＩＶＩＮＥ　ＳＯＣＩＡＬ　ＷＯＲＫＳ株式会社","ティバイン　ソーシャル　ワークス","飲食店営業","弁当","第10203-1210568号","H21.09.01","R01.09.01","R06.08.31"
"Ｚｉｏｎ",,"シオン","760-0018","高松市天神前８−２４",,"087-837-3178  ","ＤＩＶＩＮＥ　ＳＯＣＩＡＬ　ＷＯＲＫＳ株式会社","ディバイン　ソーシャル　ワークス","菓子製造業","菓子","第20101-1260608号","H26.07.25","R01.09.01","R06.08.31"
"やきとり　華まる",,"ヤキトリ　ハナマル","760-0003","高松市西町１−２０","アクト１ビル１階","087-873-2234  ","住本　憲耶","スミモト　トシヤ","飲食店営業","居酒屋・焼肉","第10107-1260583号","H26.08.05","R01.09.01","R06.08.31"
"セブン‐イレブン","高松岡本町店","セブンイレブンタカマツオカモトチョウテン","761-8047","高松市岡本町８３７−３",,"087-886-7791  ","日下　勝之","クサカ　カツユキ","飲食店営業","その他","第10404-1260684号","H26.08.27","R01.09.01","R06.08.31"
"パナデリアチボリ","仏生山店","パナデリアチボリ　ブッショウザンテン","761-8078","高松市仏生山町甲４１５−４",,"087-889-7706  ","堤製パン株式会社","ツツミセイパン","菓子製造業","パン","第20102-1260426号","H26.07.14","R01.09.01","R06.08.31"
"カフェ　夢千",,"ユメセン","761-0434","高松市十川東町５６２−１",,"087-848-6508  ","畑　千寿子","ハタ　チズコ","飲食店営業","喫茶","第10105-0054536号","H16.06.24","R01.09.01","R06.08.31"
"Ｌａｒａｓａｌｏｎ",,"ララサロン","761-0113","高松市屋島西町１５３２−４",,,"納田　おり江","ノウダ　オリエ","菓子製造業","菓子","第20101-1310644号","R01.08.19","R01.08.19","R06.08.31"
"ローソン　高松香西本町",,"ローソン　タカマツコウザイホンマチ","761-8012","高松市香西本町９０−２",,"087-881-7556  ","瀬尾　浩一","セオ　コウイチ","飲食店営業","その他","第10404-1210474号","H21.08.03","R01.09.01","R06.08.31"
"ファミリーマート香南町岡店",,"ファミリーマートコウナンチョウオカテン","761-1401","高松市香南町岡３５１−１",,"087-815-8411  ","古市　重美","フルイチ　シゲミ","飲食店営業","その他","第10404-1260545号","H26.07.31","R01.09.01","R06.08.31"
"ブランジェリー　ラ・ファミーユ",,"ブランジェリーラファミーユ","760-0080","高松市木太町２１９３−７",,"087-802-2230  ","株式会社ちきりや","チキリヤ","飲食店営業","調理パン","第10402-1260338号","H26.06.26","R01.09.01","R06.08.31"
"ブランジェリー　ラ・ファミーユ",,"ブランジェリーラファミーユ","760-0080","高松市木太町２１９３−７",,"087-802-2230  ","株式会社ちきりや","チキリヤ","菓子製造業","パン","第20102-1260339号","H26.06.26","R01.09.01","R06.08.31"
"パティスリー　グレース",,"パティスリーグレース","761-8077","高松市出作町２６６−６",,"087-899-8301  ","近藤　雅也","コンドウ　マサヤ","菓子製造業","菓子","第20101-1260700号","H26.08.28","R01.09.01","R06.08.31"
"初代めんめ焼トサカ",,"ショダイメンメヤキトサカ","760-0040","高松市片原町６−１","片原町ビル１階","087-821-8139  ","後藤　秀樹","ゴトウ　ヒデキ","飲食店営業","居酒屋・焼肉","第10107-1210246号","H21.06.04","R01.09.01","R06.08.31"
"ｇ　ｓｔａｌｌ",,"ジーストール","        ","高松市一円",,"              ","株式会社ゼムス","ゼムス","飲食店営業","露店：仮設","第10407-1310608号","R01.08.08","R01.08.08","R06.08.31"
"有限会社三友堂",,"サンユウドウ","760-0033","高松市丸の内１１−９","大内ビル３階","087-851-8746  ","有限会社三友堂","サンユウドウ","菓子製造業","菓子","第20101-0031584号","S56.06.22","R01.09.01","R06.08.31"
"和かふぇ　ＩＲＩＥＴＩＭＥ",,"ナゴミカフェ　アイリータイム","        ","高松市一円",,"              ","鈴木　晴雄","スズキ　ハルオ","飲食店営業","露店：仮設","第10407-1310609号","R01.08.08","R01.08.08","R06.08.31"
"Ｎ’ｓ　ＤＩＮＩＮＧ",,"ネヌズ　ダイニング","        ","高松市一円",,"              ","森田　直美","モリタ　ナオミ","飲食店営業","露店：仮設","第10407-1310620号","R01.08.09","R01.08.09","R06.08.31"
"ＢＬＡＣＫ　ＳＨＥＥＰ",,"ブラック　シープ","760-0051","高松市南新町１３−１",,,"王　永明","オウ　エイメイ","飲食店営業","その他","第10404-1310684号","R01.08.27","R01.08.27","R06.08.31"
"ペンギン珈琲",,"ペンギンコーヒー","761-8045","高松市西山崎町４００−４",,"087-814-4524  ","株式会社アヴァンセ","アヴァンセ","飲食店営業","喫茶","第10105-1260330号","H26.06.24","R01.09.01","R06.08.31"
"ペンギン珈琲",,"ペンギンコーヒー","761-8045","高松市西山崎町４００−４",,"087-814-4524  ","株式会社アヴァンセ","アヴァンセ","菓子製造業","菓子","第20101-1260331号","H26.06.24","R01.09.01","R06.08.31"
"さぬきうどん。たんぽぽ",,"サヌキウドン。タンポポ","761-8081","高松市成合町１４９１−１",,"087-815-7770  ","社会福祉法人たんぽぽの会","タンポポノカイ","飲食店営業","めん","第10104-1210530号","H21.08.20","R01.09.01","R06.08.31"
